eat;comere;comeremos;comeran;comera;comeras
dance;bailare;bailaras;bailaremos;bailaran;bailara
dawn;amanecere;amaneceras;amaneceremos;amanaceran;amanecera
deceive;engañare;engañaras;engañaremos;engañaran;engañara
decide;decidire;decidiras;decidiremos;decidiran;decidira
declare;declarare;declararas;declararemos;declararan;declarara
defend;defendere;defenderas;defenderemos;defenderan;defendera
desire;deseare;desearas;desearemos;desearan;deseara
despise;despreciare;despreciaras;despreciaremos;despreciaran;despreciara
destroy;destruire;destruiras;destruiremos;destruiran;destruira
develop;desarrollare;desarrollaras;desarrollaremos;desarrollaran;desarrollara
discover;descubrire;descubriras;descubriremos;descubriran;descubrira
dislike;disgustaremos;disgustaras;disgustaremos;disgustaran;disgustara
drop;soltara;soltaras;soltaremos;soltaran;soltara
employ;empleare;emplearas;emplearemos;emplearan;empleara
enclose;encerrare;encerraras;encerraremos;encerraran;encerrara
end;terminare;terminaras;terminaremos;terminaran;terminara
enjoy;disfrutare;disfrutaras;disfrutaremos;disfrutaran;disfrutara
enter;entrare;entraras;entraremos;entraran;entrara
explain;explicare;explicaras;explicaremos;explicaran;explicara
extract;extraere ;extraeras;extraeremos;extraeran;extraera
fail;fallare;fallaras;fallaremos;fallaran;fallara
fear;temere;temeras;temeremos;temeran;temera
fetch;buscare;buscaras;buscaremos;buscaran;buscara
finish;terminare;terminaras;terminaremos;terminaran;terminara
fix;arreglare;arreglaras;arreglaremos;arreglaran;arreglara
follow;seguire;seguiras;seguiremos;seguiran;seguiran
found;encontrare;encontraras;encontraremos;encontraran;encontrara
govern;gobernare;gobernaras;gobernaremos;gobernaran;gobernara
guard;protegere;protegeras;protegeremos;protegeran;protegera
hang;colgare;colgaras;colgaremos;colgaran;colgara
hate;odiare;odiaras;odiaremos;odiaran;odiara
help;ayudare;ayudaras;ayudaremos;ayudaran;ayudara
hunt;cazare;cazaras;cazaremos;cazaran;cazara
import;importare;importaras;importaremos;importaran;importara
impress;impresionare;impresionaras;impresionaremos;impresionaran;impresionara
include;incluire;incluiras;incluiremos;incluiran;incluira
invent;inventare;inventaras;inventaremos;inventaran;inventara
invite;invitare;invitaras;invitaremos;invitaran;invitara
join;unire;uniras;uniremos;uniran;unira
joke;bromeare;bromearas;bromearemos;bromearan;bromeara
jump;saltare;saltaras;saltaremos;saltaran;saltara
kick;golpeare;golpearas;golpearemos;golpearan;golpeara
kill;matare;mataras;mataremos;mataran;matara
kiss;besare;besaras;besaremos;besaran;besara
knock;golpeare;golpearas;golpearemos;golpearan;golpeara
laugh;reire ;reiras;reiremos;reiran;reira
lie;mentire;mentiras;mentiremos;mentiran;mentira
like;gustara;gustaras;gustaremos;gustaran;gustara
listen;escuchare;escucharas;escucharemos;escucharan;escuchara
live;vivere;viviras;viviremos;viviran;vivira
look;mirare;miraras;miraremos;miraran;mirara
love;amare;amaras;amaremos;amaran;amara
marry;casare;casaras;casaremos;casaran;casara
move;movere;moveras;moveremos;moveran;movera
open;abrire;abriras;abriremos;abriran;abrira
order;ordenare;ordenaras;ordenaremos;ordenaran;ordenara
organize;organizare;organizaras;organizaremos;organizaran;organizara
paint;pintare;pintaras;pintaremos;pintaran;pintara
pass;pasare;pasaras;pasaremos;pasaran;pasara
permit;permitire;permitiras;permitiremos;permitiran;permitira
play;jugare;jugaraas;jugaremos;jugaran;jugara
please;complacere;complaceras;complaceremos;complaceran;complacera
practise;practicare;practicaras;practicaremos;practicaran;practicara
present;presentare;presentaras;presentaremos;presentaran;presentara
pull;tirare;tiraras;tiraremos;tiraran;tirara
punish;castigare;castigaras;castigaremos;castigaran;castigara
push;presionare;presionaras;presionaremos;presionaran;presionara
remember;recordare;recordaras;recordaremos;recordaran;recordara
remove;removere;removeras;removeremos;removeran;removera
repair;reparare;repararas;repararemos;repararan;reparara
reply;respondere;responderas;responderemos;responderan;respondera
rest;descansare;descansaras;descansaremos;descansaran;descansara
return;regresare;regresaras;regresaremos;regresaran;regresara
sail;navegare;navegaras;navegaremos;navegaran;navegara
save;guardare;guardaras;guardaremos;guardaran;guardara
sign;cantare;cantaras;cantaremos;cantaran;cantara
smile;sonreire;sonreiras;sonreiremos;sonreiran;sonreira
smoke;fumare;fumaras;fumaremos;fumaran;fumara
start;comenzare;comenzaras;comenzaremos;comenzaran;comenzara
stop;parare;pararas;pararemos;pararan;parara
study;estudiare;estudiaras;estudiaremos;estudiaran;estudiara
surprise;sorprender;sorprenderas;sorprenderemos;sorprendera;sorprendera
talk;hablare;hablaras;hablaremos;hablaran;hablara
taste;probare;probaras;probaremos;probaran;probara
thank;agradecere;agradeceras;agradeceremos;agradeceran;agradecera
translate;traducire;traduciras;traduciremos;traduciran;traducira
travel;viajare;viajaras;viajaremos;viajaran;viajara
try;intentare;intentaras;intentaremos;intentaran;intentara
use;utiilzare;utilizaras;utilizaremos;utilizaran;utilizara
visit;visitare;visitaras;visitaremos;visitaran;visitara
wait;esperare;esperaras;esperaremos;esperaran;esperara
walk;caminare;caminaras;caminaremos;caminaran;caminara
want;querre;querras;querremos;querran;querra
wash;lavare;lavaras;lavaremos;lavaran;lavara
watch;mirare;miraras;miraremos;miraran;mirara
work;trabajare;trabajaras;trabajaremos;trabajaran;trabajara
